type,transaction_date,amount,profile,circle,category,subcategory,note,Overspend
expense,2026-08-24,80000,Ndod,HD Family,Housing,Utilities,Shower semprotan,Yes
expense,2026-08-24,210000,Devi,Extended Family,Lifestyle,Vacation,"DP ke 1 , lembang bandung",No
expense,2026-08-23,55000,Devi,HD Family,Lifestyle,Meals,Oyster omelete di weddingku pik2,Yes
expense,2026-08-23,55000,Ndod,HD Family,Lifestyle,Snacks,Batagor,Yes
expense,2026-08-23,200000,Ndod,HD Family,Transportations,E-Toll & E-Parking,Yaris,No
expense,2026-08-23,25000,Devi,HD Family,Lifestyle,Snacks,2 Voucher Momoyo,Yes
expense,2026-08-23,85000,Ndod,Extended Family,Housing,AC Maintenance,AC 1,No
expense,2026-08-23,15000,Ndod,HD Family,Gifts,Tips,AC maintenance,Yes
expense,2026-08-23,85000,Ndod,HD Family,Housing,AC Maintenance,AC 3,No
expense,2026-08-22,37000,Ndod,Extended Family,Lifestyle,Snacks,Ice cream McD,Yes
expense,2026-08-22,183000,Devi,Extended Family,Lifestyle,Meals,Bola seafood,Yes
expense,2026-08-22,80000,Ndod,HD Family,Religious Events,Ulambana Dana Paramita,Vihara Boen San Bio,No
expense,2026-08-22,65950,Devi,HD Family,Healths,Personal Care,Cepitan & bando di shopee,Yes
expense,2026-08-22,35000,Devi,HD Family,Lifestyle,Snacks,Sancha 2 pcs promo di grandlucky,Yes
expense,2026-08-22,26800,Devi,HD Family,Lifestyle,Snacks,"Bola ubi 2, ubi keju 1 di grand lucky",Yes
expense,2026-08-22,98000,Ndod,HD Family,Lifestyle,Meals,Sarapan Prawn Mie,Yes
expense,2026-08-22,86000,Devi,HD Family,Phone,Phone Credit,Kuota 40 GB,No
expense,2026-08-21,48500,Devi,HD Family,Housing,Utilities,Tisu 2 packs (20 rolls),Yes
expense,2026-08-21,300000,Ndod,HD Family,Religious Events,Ulambana Dana Paramita,Medan,No
expense,2026-08-21,2000,Ndod,HD Family,Gifts,Tips,Tips ojol,Yes
expense,2026-08-21,53300,Ndod,Extended Family,Lifestyle,Meals,Nasi goreng padang bopet,Yes
expense,2026-08-21,8000,Ndod,HD Family,Housing,Utilities,Lem korea,Yes
expense,2026-08-21,13000,Ndod,HD Family,Lifestyle,Snacks,Jus Alpukat,Yes
expense,2026-08-21,23000,Ndod,HD Family,Lifestyle,Meals,Mie Ayam,Yes
expense,2026-08-21,18000,Devi,HD Family,Lifestyle,Meals,Nasduk,Yes
expense,2026-08-20,355200,Devi,HD Family,Lifestyle,Subscriptions,Memory gdrive 100 GB 1 tahun,Yes
expense,2026-08-19,266583,Devi,Extended Family,Installments,Wants,HP Mama Devi,No
expense,2026-08-19,30000,Devi,HD Family,Gifts,Friends Gift,Kue ultah ericko,Yes
expense,2026-08-19,1434000,Ndod,HD Family,Installments,Wants,HP Devi,No
expense,2026-08-19,663000,Devi,HD Family,Healths,Insurance,FWD,No
expense,2026-08-19,30355,Ndod,HD Family,Housing,Utilities,USB Bluetooth 5.4 adapter receiver PC di Shopee,Yes
expense,2026-08-19,21003,Ndod,HD Family,Lifestyle,Snacks,Tomoro coffee,Yes
expense,2026-08-19,9000,Ndod,HD Family,Lifestyle,Subscriptions,Grab Unlimited 2 weeks,Yes
expense,2026-08-18,242100,Devi,HD Family,Healths,Intimate,Kondom & pelumas di Astro,Yes
expense,2026-08-17,42000,Ndod,HD Family,Housing,Utilities,Batre raket nyamuk di shopee,Yes
expense,2026-08-16,67500,Ndod,Extended Family,Lifestyle,Snacks,Cemilan Indomaret kumpul keluarga Hendro,Yes
expense,2026-08-15,169900,Ndod,HD Family,Housing,Utilities,Stop kontak extension di Azko,Yes
expense,2026-08-15,8000,Ndod,HD Family,Gifts,Tips,Tambal ban Yaris di Shell,Yes
expense,2026-08-15,45000,Ndod,HD Family,Transportations,Maintenances,Tambal ban Yaris di Shell,Yes
income,2026-08-15,125000,Devi,HD Family,Business,F&B Omzet,5 roti,No
expense,2026-08-14,50000,Ndod,Extended Family,Gifts,Birthday Gift,Angpao birthday Jillian,No
expense,2026-08-13,27100,Ndod,HD Family,Business,F&B Supplies,Pisang barangan di Grand Lucky,Yes
expense,2026-08-13,12000,Devi,Extended Family,Gifts,Family Gift,Kertas kado di Cherry Blossom,Yes
expense,2026-08-13,200000,Ndod,HD Family,Transportations,E-Toll & E-Parking,Yaris,No
expense,2026-08-13,5000,Ndod,HD Family,Lifestyle,Snacks,Gorengan,Yes
expense,2026-08-13,100000,Devi,HD Family,Transportations,Public Transportation,Train,No
expense,2026-08-12,80000,Ndod,HD Family,Gifts,Religious Offerings,Che 1 & Che 15,No
expense,2026-08-12,59894,Devi,HD Family,Lifestyle,Meals,Tambahan lauk makan malam via grab food,Yes
expense,2026-08-12,127480,Ndod,HD Family,Gifts,Birthday Gift,Kado boneka doggy birthday Jillian,No
expense,2026-08-12,10000,Devi,HD Family,Lifestyle,Meals,Cilor 10 pcs,Yes
expense,2026-08-12,18097,Ndod,HD Family,Lifestyle,Snacks,Ayam Geprek,Yes
expense,2026-08-10,13200,Devi,HD Family,Lifestyle,Meals,Tianlala moas,Yes
expense,2026-08-10,8000,Devi,HD Family,Lifestyle,Snacks,Beli air di moas,Yes
expense,2026-08-10,50000,Devi,HD Family,Lifestyle,Meals,Makan malam di Aeon Moas,Yes
expense,2026-08-09,80000,Devi,HD Family,Religious Events,Ulambana Dana Paramita,Vihara Kesejahteraan Kosambi Baru,Yes
expense,2026-08-09,80000,Ndod,HD Family,Religious Events,Ulambana Dana Paramita,Vihara Kesejahteraan Kosambi Baru,No
expense,2026-08-09,489000,Ndod,Extended Family,Lifestyle,Meals,Hari Hari Hotpot,Yes
expense,2026-08-09,555275,Ndod,HD Family,Transportations,Fuel,Yaris,No
expense,2026-08-09,40000,Devi,HD Family,Lifestyle,Meals,Minuman Veren jual 2 pcs,Yes
expense,2026-08-08,31825,Devi,HD Family,Housing,Utilities,Usb bluetooth PC di shopee,Yes
expense,2026-08-08,76000,Ndod,Extended Family,Lifestyle,Meals,Sate Padang,Yes
expense,2026-08-08,500000,Ndod,Extended Family,Gifts,Family Gift,Baju Ikwen di Uniqlo,Yes
expense,2026-08-08,45000,Ndod,Extended Family,Lifestyle,Snacks,Ice Cream A&W,Yes
expense,2026-08-08,6000,Ndod,HD Family,Lifestyle,Snacks,Air Mineral,Yes
expense,2026-08-08,23596,Devi,HD Family,Business,F&B Supplies,Bahan kue di shopee,Yes
expense,2026-08-08,68546,Devi,HD Family,Gifts,Birthday Gift,Kado tas birthday Jillian,No
expense,2026-08-08,73554,Devi,HD Family,Phone,Accessories,Antigores tiktok,Yes
expense,2026-08-07,100000,Devi,HD Family,Gifts,Dana Paramita,Buddho Doll,Yes
income,2026-08-07,175000,Devi,HD Family,Business,F&B Omzet,7 pcs jualan banana strudel,No
expense,2026-08-07,85000,Devi,HD Family,Lifestyle,Meals,Makan malam sebelum ke cetiya,No
income,2026-08-07,450000,Devi,HD Family,Business,F&B Omzet,18 pcs jualan banana strudel,No
expense,2026-08-07,10000,Devi,HD Family,Gifts,Dana Paramita,Cetiya Mahakusala Poris,No
expense,2026-08-07,10000,Ndod,HD Family,Gifts,Dana Paramita,Cetiya Mahakusala Poris,No
expense,2026-08-07,30000,Devi,HD Family,Housing,Utilities,Masker 2 pack & 3 biji tisu roll,Yes
expense,2026-08-07,45000,Devi,Extended Family,Lifestyle,Meals,Bakpao kacang 10 pcs,Yes
expense,2026-08-06,89600,Devi,HD Family,Business,F&B Supplies,"Chocolatta 2, kacang 2 bks",Yes
expense,2026-08-06,37400,Ndod,HD Family,Business,F&B Supplies,Pisang barangan di Grand Lucky,Yes
expense,2026-08-06,128337,Devi,HD Family,Business,F&B Supplies,Puff pastry 750 gr shopee 3 box,Yes
expense,2026-08-05,72000,Devi,Extended Family,Housing,Utilities,Air Rumah Devi,No
income,2026-08-05,240000,Devi,HD Family,Business,F&B Omzet,12 pcs jualan banana strudel,No
expense,2026-08-05,97725,Devi,HD Family,Healths,Personal Care,"Pinset 2 , korek kuping 1 di shopee",Yes
expense,2026-08-05,30000,Devi,HD Family,Business,F&B Supplies,Pisang 8 pcs di Grandlucky,Yes
expense,2026-08-05,125812,Devi,HD Family,Business,F&B Supplies,Puff pastry 750 gr shopee 3 box,Yes
expense,2026-08-05,20000,Devi,HD Family,Business,F&B Supplies,Plastik 50 pcs shopee,No
expense,2026-08-04,23800,Devi,HD Family,Lifestyle,Meals,Biskuit 2 pcs,Yes
expense,2026-08-04,80000,Ndod,HD Family,Transportations,Wash,,No
expense,2026-08-04,144000,Ndod,Extended Family,Healths,Massage,,Yes
expense,2026-08-03,10000,Devi,HD Family,Lifestyle,Meals,Cilor 10 pcs,Yes
expense,2026-08-03,100000,Ndod,HD Family,Lifestyle,Entertainment,GIIAS,Yes
